pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_someone,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,p_auto,p_trust,pupil_diameter,new_left,new_right,new_ave,tapping_err_short,tapping_err_long,tapping_err_ave,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,traj_err
1,7,7,1,inc,0.2,low,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.25,6.5,6.375,9,6,3.470474974375,0.075,0.65,0.3625,4.6449032425880326,10.739345724384018,7.369105978999999,7.0,7.0,7.0,4.0,5.0,9.0,6.5,1.2655173001870526
1,7,7,1,inc,0.8,high,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.75,6.75,6.75,9,9,2.8283055625,0.15,0.35,0.25,4.734839664565191,10.37364582220715,7.354606907749999,1.0,1.0,1.0,1.0,1.0,2.0,1.1666666666666667,0.6510420646422225
2,6,2,1,dec,0.8,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9,3.086886065371603,1.775,1.725,1.75,3.0307549238204863,8.904729866319233,5.641410454249999,4.0,3.0,3.0,4.0,4.0,6.0,4.0,0.705194160704965
2,6,2,1,dec,0.2,low,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5,6,6,2.816876431585116,2.15,1.9250000000000005,2.0375,-2.715158462524414,7.788607478141784,1.9531819545,5.0,3.0,4.0,4.0,4.0,14.0,5.666666666666667,1.2340341838053774
3,6,1,2,inc,0.2,low,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.25,5.75,6.0,1,10,3.224648026818325,1.925,1.925,1.9250000000000005,3.969998682538654,3.346555293710141,3.735367743750001,8.0,7.0,9.0,6.0,16.0,13.0,9.833333333333334,1.12221730651063
3,6,1,2,inc,0.8,high,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,10,3.1431421790587635,2.45,2.5250000000000004,2.4875,0.925223827362024,2.6937278360128527,1.69588298775,2.0,4.0,5.0,2.0,5.0,5.0,3.8333333333333335,0.39161151053381
4,6,6,3,dec,0.8,high,6.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.5,6.5,6.5,8,8,3.0079834384335427,1.475,1.65,1.5625,19.771200418472304,1.613499323527035,11.495707134,7.0,3.0,4.0,5.0,17.0,8.0,7.333333333333333,0.7222605400011625
4,6,6,3,dec,0.2,low,6.0,6.0,5.0,4.0,7.0,7.0,7.0,7.0,6.25,6.0,6.125,8,7,3.034437656923709,1.525,1.9,1.7125,-1.94382905960083,7.182854413986207,1.978831025,10.0,2.0,11.0,3.0,10.0,13.0,8.166666666666666,1.465633598548435
5,7,1,1,inc,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.787662447501773,2.025,2.175,2.1,27.270145316918672,8.639971514542891,18.732587126,1.0,1.0,1.0,1.0,6.0,15.0,4.166666666666667,1.4098953777570076
5,7,1,1,inc,0.8,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,9,2.721654395030124,2.2,2.175,2.1875,7.212571402390827,-2.6648883880288627,2.69762132,1.0,3.0,1.0,1.0,5.0,11.0,3.6666666666666665,0.6564518038465975
