pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,pupil_diameter,new_left,new_right,new_ave
1,7,7,1,inc,0.2,low,3.470474974375,0.075,0.65,0.3625
1,7,7,1,inc,0.8,high,2.8283055625,0.15,0.35,0.25
2,6,2,1,dec,0.8,high,3.086886065371603,1.775,1.725,1.75
2,6,2,1,dec,0.2,low,2.816876431585116,2.15,1.9250000000000005,2.0375
3,6,1,2,inc,0.2,low,3.224648026818325,1.925,1.925,1.9250000000000005
3,6,1,2,inc,0.8,high,3.1431421790587635,2.45,2.5250000000000004,2.4875
4,6,6,3,dec,0.8,high,3.0079834384335427,1.475,1.65,1.5625
4,6,6,3,dec,0.2,low,3.034437656923709,1.525,1.9,1.7125
5,7,1,1,inc,0.2,low,2.787662447501773,2.025,2.175,2.1
5,7,1,1,inc,0.8,high,2.721654395030124,2.2,2.175,2.1875
6,5,6,2,dec,0.8,high,3.354363967837581,2.475,2.4250000000000003,2.45
6,5,6,2,dec,0.2,low,3.4517952416310083,2.55,2.325,2.4375
7,6,1,1,inc,0.2,low,3.599765240344283,2.375,2.525,2.45
7,6,1,1,inc,0.8,high,3.464084493610986,2.2,2.15,2.175
8,6,2,2,dec,0.8,high,3.028796181439505,2.025,2.025,2.025
8,6,2,2,dec,0.2,low,3.1130311512094284,2.25,2.375,2.3125
9,6,2,4,inc,0.2,low,2.7463904412355427,2.6,2.4,2.5
9,6,2,4,inc,0.8,high,2.6675368894603637,2.5,2.525,2.5125
10,3,4,1,dec,0.8,high,3.265656276829562,1.875,0.95,1.4125
10,3,4,1,dec,0.2,low,3.221377270708383,1.8,0.7000000000000001,1.25
11,5,6,3,inc,0.2,low,3.252365657733726,2.2,2.3,2.25
11,5,6,3,inc,0.8,high,3.091265677865613,1.5499999999999998,1.625,1.5875
12,6,7,5,dec,0.8,high,0.0,1.025,1.025,1.025
12,6,7,5,dec,0.2,low,0.0,0.975,0.975,0.975
13,7,7,2,inc,0.2,low,3.472890458867904,1.775,1.9,1.8375
13,7,7,2,inc,0.8,high,3.3856224433227853,1.525,1.6,1.5625
14,6,6,2,dec,0.8,high,2.75326717545057,0.725,0.775,0.75
14,6,6,2,dec,0.2,low,2.7943276807429878,0.45,0.65,0.55
15,6,5,4,inc,0.2,low,3.272809978027031,1.975,1.825,1.9
15,6,5,4,inc,0.8,high,3.2817157142370084,1.95,2.025,1.9875000000000005
16,5,1,1,dec,0.8,high,3.5562415757361125,2.075,1.975,2.025
16,5,1,1,dec,0.2,low,3.438520563681997,2.2,2.0,2.1
17,5,5,1,inc,0.2,low,3.9149630233216177,1.9,1.875,1.8875
17,5,5,1,inc,0.8,high,3.604183410244379,2.1,2.1500000000000004,2.125
18,3,6,1,dec,0.8,high,3.6587772678035178,2.225,2.375,2.3
18,3,6,1,dec,0.2,low,3.670102021663761,2.425,2.55,2.4875
19,6,7,5,inc,0.2,low,2.783113195964992,1.925,1.75,1.8375
19,6,7,5,inc,0.8,high,2.559468144986371,1.75,2.025,1.8875
20,6,1,2,dec,0.8,high,3.2372502628706545,2.6500000000000004,2.575,2.6125
20,6,1,2,dec,0.2,low,3.292745889357664,2.45,2.475,2.4625
21,7,6,1,inc,0.2,low,2.8691124908046874,2.575,2.575,2.575
21,7,6,1,inc,0.8,high,2.742948556734734,2.6,2.7,2.6499999999999995
22,5,1,1,dec,0.8,high,2.99909536851381,2.3,2.375,2.3375000000000004
22,5,1,1,dec,0.2,low,2.9368420310648204,2.4,2.4000000000000004,2.4
23,5,5,4,inc,0.2,low,3.7796190721485887,1.775,1.975,1.875
23,5,5,4,inc,0.8,high,3.9061578534794297,1.75,1.875,1.8125
24,6,1,3,dec,0.8,high,3.000034578134847,2.65,2.425,2.5375000000000005
24,6,1,3,dec,0.2,low,2.903579117111998,2.05,2.275,2.1625
