pid,trial_id,error
1,1,0.5
2,1,2.0
3,1,2.6
4,1,1.25
5,1,1.9
6,1,2.5
7,1,2.25
8,1,1.8
9,1,2.45
10,1,1.85
11,1,2.3
12,1,1.1
13,1,1.85
14,1,1.15
15,1,2.05
16,1,2.15
17,1,0.65
18,1,2.4
19,1,0.4
20,1,2.95
21,1,2.7
22,1,1.85
23,1,1.75
24,1,2.5
1,2,0.3
2,2,2.5
3,2,2.65
4,2,1.45
5,2,2.05
6,2,2.8
7,2,2.35
8,2,2.9000000000000004
9,2,2.7
10,2,1.85
11,2,1.85
12,2,1.2
13,2,2.0999999999999996
14,2,1.95
15,2,2.25
16,2,2.1
17,2,1.0
18,2,2.25
19,2,0.35
20,2,2.6500000000000004
21,2,2.45
22,2,1.45
23,2,1.75
24,2,2.55
1,3,0.45
2,3,2.1
3,3,2.6
4,3,1.6
5,3,2.0
6,3,2.45
7,3,2.3
8,3,1.85
9,3,2.5
10,3,2.0
11,3,2.1500000000000004
12,3,1.1
13,3,2.4
14,3,2.2
15,3,2.1500000000000004
16,3,1.9
17,3,2.45
18,3,2.4
19,3,0.44999999999999996
20,3,2.0
21,3,2.75
22,3,2.3
23,3,2.05
24,3,2.45
1,4,1.05
2,4,2.3
3,4,2.7
4,4,1.2999999999999998
5,4,1.85
6,4,2.2
7,4,2.5
8,4,2.35
9,4,2.55
10,4,1.55
11,4,2.45
12,4,1.3
13,4,1.85
14,4,1.85
15,4,2.75
16,4,2.1
17,4,2.3
18,4,2.35
19,4,0.4
20,4,2.35
21,4,2.5
22,4,2.4
23,4,1.95
24,4,2.5
1,5,0.95
2,5,2.25
3,5,2.75
4,5,0.7
5,5,2.4
6,5,2.75
7,5,2.55
8,5,2.2
9,5,2.4000000000000004
10,5,1.45
11,5,2.3
12,5,1.3
13,5,1.7999999999999998
14,5,1.75
15,5,2.4
16,5,1.95
17,5,2.15
18,5,2.35
19,5,0.44999999999999996
20,5,3.1
21,5,2.6
22,5,1.9
23,5,1.4
24,5,2.6
